Português,Inglês
É isso ai.,That's it.
"Sim, querido.",Yes dear.
Como aconteceu?,How did it happen?
Vou falar com ele.,I will talk to him.
Isso seria ótimo.,It would be great.
Ótima ideia.,Great idea.
Posso explicar.,I can explain.
Aqui em cima!,Up here!
Pode vir.,May come.
Preciso ir ao banheiro.,I need to go to the bathroom.
Para o quê?,For what?
Nos episódios anteriores...,In previous episodes...
Lá vai você.,There you go.
Pode confiar em mim.,You can trust me.
Você tem sorte.,You have luck.
Não é assim que funciona.,It is not how it works.
É o que dizem.,That's what they say.
Este aqui.,This one.
Ainda está aí?,Are you still there?
O que pensa que está fazendo?,What do you think you are doing?
Lou!,Lou!
Isso é diferente.,This is different.
Quantas?,How many?
Ele é um idiota.,He is an idiot.
Maravilhosa.,Wonderful.
Não precisava.,I didn't need to.
Talvez tenha razão.,Maybe you're right.
Graças.,Thanks.
Continue assim.,Keep it up.
Estão mortos.,They're dead.
O que eles estão fazendo?,What are they doing?
Corte.,Cut.
Claro que vai.,Of course it goes.
Parece legal.,Looks cool.
Acertou.,Hit.
Festa!,Party!
Gloria.,Glory.
Preciso desligar.,I need to hang up.
"Não, eu não posso.","No, I can not."
"Vamos, agora.",Let's go now.
Treinador.,Trainer.
Eu amei.,I loved.
Onze.,Eleven.
Quer um café?,Want a coffee?
Dez minutos.,Ten minutes.
"Sinto muito, querida.","I'm sorry, dear."
Temos trabalho a fazer.,We have work to do.
Então vá.,So go.
O melhor.,The best.
"Bem,","Good,"
Está me entendendo?,Are you understanding me?
Só um instante.,Just a minute.
Estamos fechados.,We are closed.
Eu lhe disse.,I told you.
Apenas relaxe.,Just chill.
Algumas vezes.,Sometimes.
Aqui tem.,Here it has.
Eu não sei de nada.,I do not know anything.
Continuem andando.,Keep walking.
Somos.,Are.
Ela é minha.,She is mine.
O que você quiser.,Whatever you want.
Eu não posso acreditar.,I can not believe.
"Não, não mesmo.","No, not really."
Só que...,Only ...
Percebi.,I noticed.
Sebastian.,Sebastian.
Tenho um plano.,I have a plan.
Tem sim.,Yes he has.
Não é lindo?,Is not it beautiful?
E o quê?,Which is?
Katherine.,Katherine.
Meredith.,Meredith.
A seguir...,Next...
Sério mesmo?,Really?
Ele está doente.,He is sick.
Lá dentro.,In there.
Angie.,Angie.
Fique fora disso.,Stay out of it.
Yep.,YEP.
Eu quero você.,I want you.
O que está fazendo aí?,What are you doing there?
Peço desculpa.,I apologize.
Mortos.,Dead.
Wayne!,Wayne!
Já chegamos?,Have we arrived?
Eu a conheço.,I know her.
Isso é possível?,It is possible?
Você está grávida?,You are pregnant?
Não era.,Was not.
Dexter.,Dexter.
Estou livre.,I am free.
Londres.,London.
Não o conheço.,I do not know him.
Tenho certeza disso.,I'm sure of that.
O que você tem aí?,What you got there?
Saindo.,Leaving.
De quem é?,Whose is it?
"Sim, tenho certeza.","Yes, I'm sure."
Está comigo.,Is with me.
Estraguei tudo.,I spoiled everything.
Elliot.,Elliot.
Falo com você depois.,Talk to you later.
Deixe-me tentar.,Let me try.
Lane.,Lane.
Angel.,Angel.
Quer café?,Do you want coffee?
Você não sabe de nada.,You do not know anything.
Não percebe?,Don't you realize?
Diga-me você.,You tell me.
Está sangrando.,It's bleeding.
Spencer.,Spencer.
Extraordinário.,Extraordinary.
Lá vem ele.,Here he comes.
Doze.,Twelve.
Você é engraçado.,You're funny.
Não é da minha conta.,It is not my account.
Você poderia...,You could...
Ele não sabe.,He does not know.
"Então, vamos.",So let's go.
Quer uma carona?,Do you want a ride?
Muito mesmo.,Much.
Você está me ouvindo?,Are you listening to me?
Teve sorte?,Had lucky?
Cadê ela?,Where's her?
O que estou fazendo aqui?,What am I doing here?
Três anos.,Three years.
Uma garota.,A girl.
Wade!,Wade!
Saia de cima de mim!,Get out of me!
"Sinto muito, cara.","I'm sorry, man."
Vanessa.,Vanessa.
Leonard.,Leonard.
Espalhem-se!,Spread yourself!
Coragem.,Courage.
Quem são essas pessoas?,Who are these people?
Manny!,Manny!
Além disso...,Furthermore...
Vamos morrer!,We are going to die!
Esperto.,Clever.
Sei como é.,I know how it is.
É bonita.,It's beautiful.
"Esperem, esperem.","Wait, wait."
Sem chances.,No chances.
Você é um mentiroso.,You're a liar.
"Nada, nada.","Nothing, nothing."
UMA SÉRIE ORIGINAL NETFLIX,An original Netflix series
Em?,In?
Dick.,Dick.
obrigado.,thanks.
Um beijo.,A kiss.
Tenham um bom dia.,Have a good day.
Até lá.,Until then.
O que quiser.,Whatever you want.
Receio que não.,I'm afraid not.
Não toque nela!,Don't touch her!
Eu não disse?,I did not say?
Ouviu o que eu disse?,Did you hear what I said?
Stanley!,Stanley!
Estamos perdendo tempo.,We are wasting time.
Aqui vou eu.,Here I go.
Trevor?,Trevor?
Começou.,It started.
Você não vê?,You do not see?
Estamos presos.,We are stuck.
Está sozinho?,Are you alone?
Pizza.,Pizza.
Tem filhos?,Have children?
"Ok, tudo bem.",OK everything is fine.
Não quero ir.,I do not want to go.
Eu sim.,I yes.
Lex.,Lex.
Fique com ela.,Stay with her.
Tinha.,He had.
Para onde estamos indo?,Where are we going?
Vai dar certo.,I will get it right.
Quando isso aconteceu?,When did this happen?
Não é meu.,Is not mine.
Ronnie.,Ronnie.
Vamos fazer.,Let's do it.
Graças a você.,Thanks to you.
Está aberta.,It's open.
"Desculpe-me, senhor.","Excuse me, sir."
"Ei, pai.","Hey, father."
Eu estraguei tudo.,I messed up.
"Sim, ele é.","Yes, he is."
Satisfeito?,Satisfied?
Você é o melhor.,You are the best.
Estou faminta.,I'm starving.
Talvez mais tarde.,Maybe later.
Cadê?,Where?
Mostre.,Show.
"Ei, você está bem?","Hey, are you okay?"
Nós temos que ir.,We have to go.
Assim como?,Like this?
Temo que sim.,I fear yes.
Essa é a questão.,That is the question.
Beije-me.,Kiss Me.
"Oh, querido.",Oh dear.
Eu estava brincando.,I was kidding.
"Sim, sr.","Yes, mr."
O que isso tem a ver?,What does this have to do?
Levante as mãos!,Raise your hands!
Não podemos ficar aqui.,We can't stay here.
O que estás a fazer?,What are you doing?
Pegue isto.,Take this.
Voltar?,To go back?
Imagino.,I guess.
Tinha razão.,Was right.
Eu digo.,I say.
O que eu devo fazer?,What should I do?
Essa foi por pouco.,That was close.
Dê-me sua mão.,Give me your hand.
Sabe o que significa?,Do you know what it means?
Ele saiu.,He left.
Eu vou voltar.,I will come back.
Entre aí.,Between there.
Caso encerrado.,Case closed.
Tracy.,Tracy.
Olhem só.,Look.
Está bem aqui.,It's right here.
Não sei por quê.,I do not know why.
Eu vou matá-lo.,I'll kill him.
2ª Temporada |,Season 2 |
Beckett.,Beckett.
Saca só.,Check it out.
Sei o que estou fazendo.,I know what I'm doing.
À direita.,On the right.
O que eu vou fazer?,What I'll do?
O que vai fazer agora?,What are you going to do now?
Sabe do que estou falando.,You know what I'm talking about.
Gina.,Ginny.
Não desligue.,Do not turn off.
Não é nada disso.,That's not it.
Christian.,Christian.
"Oh, yeah.","Oh, Yeah."
Não brinque comigo.,Do not play with me.
Não quer?,Do not want?
Como poderia?,How could you?
AGORA,NOW
Olhem isso.,Look at this.
Hugo,Hugo
Eu moro aqui.,I live here.
Boa escolha.,Good choice.
Ele está dormindo.,He is sleeping.
Muito bonita.,Very beautiful.
Consegue me ouvir?,Can you hear me?
Isso é tão legal.,This is so cool.
Não morra.,Do not die.
"Não, não foi.","No, it was not."
Um ano?,One year?
Encantador.,Charming.
Serio?,Serious?
Esse mesmo.,That same.
"Não, está bem.",Its not good.
O que vamos fazer agora?,What will we do now?
Não hoje.,Not today.
"Tudo bem, obrigado.",Okay thank you.
Falando nisso...,By the way...
"Sim, e daí?","Yes, so what?"
Qual a diferença?,What's the difference?
Isto é loucura.,This is crazy.
Vic.,VIC.
Não temos tempo para isso.,We don't have time for it.
Desculpem o atraso.,Sorry I'm late.
Eu poderia.,I could.
T,T
Você está pronta?,You are ready?
Obrigado por isso.,Thank you for that.
"Oi, mamãe.",Hi mommy.
É assustador.,It is scary.
Onde fica?,Where it is?
Spartacus!,Spartacus!
Estou impressionada.,I'm impressed.
Onde é?,Where is?
Não tenho medo.,I'm not afraid.
Aqui estamos nós.,Here we are.
Eu topo.,I'm in.
Tirem-me daqui!,Take me from here!
Três dias.,Three days.
Dirija com cuidado.,Drive carefully.
O que eu deveria fazer?,What should I do?
Isso não é da sua conta.,This is not your account.
Estou avisando.,I'm warning.
O que está vendo?,What you're seeing?
"É, claro.",It is clear.
É o fim.,It's the end.
Não tenho tempo para isso.,I don't have time for that.
Está lá.,Is there.
Até que enfim.,At last.
Estamos de volta.,We are back.
Você conhece?,You know?
Pode esperar?,It can wait?
D,D
Comece.,Start.
Primeiro...,First...
Quer mais?,Want more?
Obrigado pelo seu tempo.,Thank's for your time.
Não é ótimo?,Isn't it great?
Aproveitem.,Enjoy.
Seis meses.,Six months.
Venha ver.,Come see.
Divertido.,Funny.
Nos vemos.,We see.
O que está...,What is...
Ele era...,He was...
Me dê sua mão.,Give me your hand.
Está ótima.,It's great.
Mas não posso.,But I can not.
Está trancada.,It is locked.
Você é o cara.,You are the man.
Isso é lindo.,This is beautiful.
Não entendeu?,Did not understand?
Me deixa em paz!,Leave me in peace!
Faça-o.,Machete.
Um pouquinho.,A little bit.
Deus o abençoe.,God bless you.
Leve-o.,Take the.
Hi.,Hi.
Isto é bom.,This is good.
Rob!,Rob!
Você precisa de ajuda.,You need help.
Vendido!,Sold!
Não estamos.,We are not.
Muito mais.,A lot more.
"Devagar, devagar.",Slowly slowly.
Zac,Zac
Jules.,Jules.
Como vocês estão?,How are you?
Missão cumprida.,Mission Accomplished.
A decisão é sua.,It's your decision.
"É, bem...",Is well...
Não é importante.,It's not important.
Aqui está você.,Here you are.
Chocolate.,Chocolate.
Solte a arma!,Release the gun!
A que horas?,What time?
Benjamin.,Benjamin.
Mais devagar.,Slower.
Na mosca!,Right in the bull's-eye!
Tu!,You!
Eu nunca disse isso.,I never said that.
"Certo, entendi.","Ok, I get it."
Tenho que desligar.,I have to turn off.
Entre aqui.,Between here.
Ligue para ele.,Call him.
Ele está morrendo.,He is dying.
Me ouça.,Listen to me.
Baby!,Baby!
Quem te disse isso?,Who told you that?
Você precisa ir.,You have to go.
Que assim seja.,So be it.
Vou te mostrar.,I'll show you.
Inglês.,English.
As chaves.,The keys.
Namorado?,Boyfriend?
Abre a porta!,Open the door!
O que tem em mente?,What do you have in mind?
Uh-oh.,Uh-oh.
Aonde você está indo?,Where are you going?
A caminho.,On my way.
Um mês?,One month?
Quem liga?,Who cares?
Exactamente.,Exactly.
O que ele faz aqui?,What does he do here?
Não é mais.,It is no longer.
"Agora, vamos.",Let's go now.
Você acredita?,You believe?
Esconda-se.,Hide.
Não faça.,Do not do.
"Está, sim.",Yes.
Adoro isso.,Love it.
Dificilmente.,Difficultly.
Não me chame assim.,Do not call me like that.
Ele ainda está vivo.,He is still alive.
Continue tentando.,Keep trying.
Estou morto.,I'm dead.
A resposta é não.,The answer is no.
Minha perna!,My leg!
Chegue mais perto.,Get closer.
Onde está todo mundo?,Where is everyone?
Quer ajuda?,Want help?
Todas.,All.
Cam!,Cam!
Você a ama?,You love her?
Melissa.,Melissa.
UNITED4EVER Quality is Everything!,United4ever Quality is Everything!
Muito tempo.,A long time.
Preparados?,Prepared?
"Obrigado, Senhor.",Thank you sir.
Lewis.,Lewis.
Porco!,Pork!
Você é muito gentil.,You are very kind.
Sid!,Sid!
Não sei ainda.,I don't know yet.
Coisas.,Things.
Só uma vez.,Just once.
Isaac.,Isaac.
Responda a pergunta.,Answer the question.
Pedro!,Pedro!
"Cuidado, cuidado.","Be careful, beware."
"Eu, não.",I am not.
Lá vai ele.,There he goes.
Respeito.,Respect.
Foi o que ele disse.,That's what he said.
Bem vindo.,Welcome.
Você acredita nisso?,Do you believe that?
Sentido!,Sense!
Confio em você.,I trust you.
Pergunte.,Ask.
Fabuloso.,Fabulous.
Você fala inglês?,You speak English?
Rapaz!,Boy!
Estou doente.,I am sick.
Preciso saber.,I need to know.
Eu fui.,I went.
Mantido.,Sustained.
Briga!,Argument!
Não ainda.,Not yet.
Como ele era?,As he was?
Tem certeza que está bem?,Are you sure it's okay?
Sempre foi.,Was always.
Todas elas.,All of them.
Ele sumiu.,He disappeared.
Vão em frente.,Go ahead.
Dormindo.,Sleeping.
A propósito...,By the way...
Eu odeio você.,I hate you.
Prazer em conhecê-los.,Nice to meet you.
Para onde você vai?,Where are you going?
Lydia.,Lydia.
Não gostou?,Didn't you like it?
É enorme.,It is huge.
"Sim, eu estou bem.",Yes I'm fine.
Connie!,Connie!
Sentiu minha falta?,Did you miss me?
Olá a todos.,Hello everybody.
Eu amo isso.,I love that.
Posso ir agora?,Can I go now?
Não é uma boa ideia.,It's not a good idea.
Bons sonhos.,Sweet dreams.
Valeu a pena.,Worth it.
Me responda!,Answer me!
Ruby.,Ruby.
"Tchau, pai.",Bye dad.
Meu Senhor.,My Lord.
"Sim, desculpe.","Yes, I'm sorry."
Ocupado.,Busy.
Você é maluco.,You're crazy.
"Ok, obrigado.",OK thanks.
Vitória!,Victory!
O que vai querer?,What will you want?
Que gentil.,How kind.
Vou ficar.,I will stay.
Muitas.,Lots of.
Cap.,Ch.
Eve.,Eve.
Não tem de quê.,You're welcome.
Está bêbado.,You are drunk.
Que chato.,How boring.
Passando.,Passing.
"Então, é isso.",Then that's it.
"Não, querido.",No dear.
Recebido.,Received.
Está me machucando.,It's hurting me.
Vou matar você!,I'll kill you!
As crianças.,The children.
Você escolhe.,You choose.
O que você achou?,What did you think?
Frio.,Cold.
Eu confio em você.,I trust you.
Não é uma boa hora.,It's not a good time.
Gracias.,Gracias.
Finn.,Finn.
"Desculpe, eu...",Sorry I...
Ela está vindo.,She is coming.
Nem sempre.,Not always.
Pode apostar que sim.,You bet.
Ela foi embora.,She left.
Sabe o que?,Know what?
Ele é meu filho.,He is my son.
Estou ocupada.,I am busy.
Precisamos.,We need.
"Por favor, não vá.","Please, do not go."
Qual delas?,Which one?
Tem alguém em casa?,Is there anyone at home?
Eu posso ajudar.,I can help.
Eu percebi.,I perceived.
Eu discordo.,I disagree.
Não tenho dinheiro.,I don't have any money.
Ivan.,Ivan.
Vazio.,Empty.
Julian.,Julian.
O que você está esperando?,What are you waiting for?
Como eu disse.,Like I said.
Cameron.,Cameron.
Que diabo!,What the hell!
Segure isto.,Hold this.
Estou vivo.,I'm alive.
Não é incrível?,Isn't it amazing?
Estou muito feliz.,I am really happy.
Não responda.,Do not answer.
"Sim, ótimo.","Yes, great."
Posso me sentar?,Can I seat?
Vou pensar.,I am going to think.
Recebi sua mensagem.,I received your message.
Me mate.,Kill me.
Não quero isso.,I do not want it.
"Entendido, senhor.",Understood Sir.
Talvez eu possa ajudar.,Maybe I can help.
Próxima.,Next.
Você gosta disso?,Do you like it?
Eu gosto dele.,I like him.
Venha até aqui.,Come here.
Temos que conversar.,We have to talk.
Isso é um problema?,This is a problem?
Só nós dois.,Just the two of us.
Bom Deus!,Good God!
Vai sim.,He is going yes.
Não toque em nada.,Do not touch anything.
"Bom dia, senhora.",Good morning lady.
Olha quem está aqui.,Look who is here.
Tia!,Aunt!
"Bem, bem, bem.",Well well well.
Tenho que trabalhar.,I have to work.
Diane.,Diane.
Ataquem!,Attack!
Rosie.,Rosie.
Dá uma olhada.,Take a look.
"Não se preocupe, querida.","Do not worry, dear."
Estou com pressa.,I'm in a hurry.
Diferente.,Different.
Como ela é?,How is she?
Estava brincando.,I was kidding.
Mas é.,But is.
Sandra.,Sandra.
Bum!,Bum!
Por que deveria?,Why should?
Voltem ao trabalho.,Return to work.
Vá pra casa.,Go home.
"Não, você não vai.","No, you won't."
Sua...,Your...
Que inferno!,What the hell!
O que parece?,What does it look like?
Hodor.,Hodor.
Estou com sede.,I'm thirsty.
Fim da história.,History end.
"Olá, como vai?",Hello how are you?
Clay.,Clay.
Não estou com medo.,I'm not afraid.
Prendam-no!,Attach it!
Não conheço.,I don't know.
Não deu certo.,Did not work.
Coitadinho.,Poor little thing.
Robbie!,Robbie!
Ele vai.,He goes.
É um prazer conhecê-lo.,Nice to meet you.
Basicamente.,Basically.
Não consegui.,I wasn't able to.
Bom dia a todos.,Good morning everybody.
Ahn?,Ahn?
Excelência.,Excellence.
"Não, não tem.","No, there is no."
Kara!,Kara!
Vamos subir.,Let's go up.
Que diabos você está fazendo?,What the hell are you doing?
É uma boa idéia.,It's a good idea.
Vamos beber.,Let's drink.
"Não, eu entendo.","No, I understand."
Ficou maluco?,Got crazy?
Aproxime-se.,Come closer.
Se apresse.,Hurry up.
Eles estão bem.,They are well.
Que dia!,What a day!
Kitty.,Kitty.
Vou vomitar.,I'm going to throw up.
Debbie.,Debbie.
Eu garanto.,I guarantee.
Alison.,Alison.
Estamos chegando.,We are coming.
A garota.,The girl.
UNITED apresenta,United presents
Eu me demito.,I quit.
Sua filha.,His daughter.
"Não, não precisa.","No, you don't have to."
Isso é muito legal.,This is really cool.
Isso é inacreditável.,This is unbelievable.
A festa acabou.,The party is over.
Brandon.,Brandon.
Quer falar sobre isso?,Do you want to talk about that?
Suicídio.,Suicide.
"Sim, eu posso.",Yes I Can.
Não podem.,You can not.
"Sim, doutor.","Yes, doctor."
Posso vê-lo?,I can see him?
Vocês se conhecem?,Do you know each other?
"Tchau, tchau.",Bye Bye.
Para você também.,To you too.
Que diabos aconteceu?,What the hell happened?
Namorada?,Girlfriend?
A srta.,The Miss.
Fiquem calmos.,Keep calm.
Eles chegaram.,They arrived.
Embora?,Although?
Suma!,Sum!
Não atenda.,Do not answer.
Esperem por mim!,Wait for me!
Judy!,Judy!
Moicano,Mohican
Eu e você.,You and me.
"Bem, eu não sei.",Well I do not know.
Eu perdi.,I lost.
"Ai, não.",Oh no.
"Ah, por favor.","Ah, please."
Fiz.,I did.
Que diabos está acontecendo aqui?,What the hell is going on here?
"Espera, espera, espera.","Wait, wait, wait."
Tudo bem com você?,How are you?
"Vamos, por favor.","Let's go, please."
Nós temos.,We have.
Não temos.,We do not have.
"Ah, bom.",Oh good.
Eu era.,I was.
O que estava pensando?,What were you thinking?
Avançar!,Advance!
Está ocupado?,Are you busy?
Falei.,I spoke.
Não consigo ver nada.,I can not see anything.
Miguel!,Miguel!
Fiquem abaixados!,Be lowered!
Lena?,Lena?
Última chance.,Last chance.
Dizer o quê?,Say what?
Muitas vezes.,Often.
Quinze.,Fifteen.
Sei como se sente.,I know how you feel.
Você me salvou.,You saved me.
Nova York.,New York.
"Não vai, não.","It won't, no."
